Date : 2026-04-08 15:01:45
Directory : d:\workshops\eShop
Total : 821 files,  56337 codes, 1671 comments, 6996 blanks, all 65004 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\Catalog.API\Infrastructure\Exceptions                                                                                                           |          1 |         12 |          3 |          4 |         19 |
| src\Catalog.API\Infrastructure\Migrations                                                                                                           |          7 |        680 |         16 |        201 |        897 |
| src\Catalog.API\IntegrationEvents                                                                                                                   |         11 |        114 |          7 |         37 |        158 |
| src\Catalog.API\IntegrationEvents (Files)                                                                                                           |          2 |         55 |          3 |         11 |         69 |
| src\Catalog.API\IntegrationEvents\EventHandling                                                                                                     |          2 |         45 |          1 |         12 |         58 |
| src\Catalog.API\IntegrationEvents\Events                                                                                                            |          7 |         14 |          3 |         14 |         31 |
| src\Catalog.API\Model                                                                                                                               |          6 |        108 |         27 |         50 |        185 |
| src\Catalog.API\Properties                                                                                                                          |          1 |         12 |          0 |          0 |         12 |
| src\Catalog.API\Services                                                                                                                            |          2 |         62 |         10 |         24 |         96 |
| src\Catalog.API\Setup                                                                                                                               |          1 |        810 |          0 |          1 |        811 |
| src\ClientApp                                                                                                                                       |        175 |      8,157 |        299 |      1,535 |      9,991 |
| src\ClientApp (Files)                                                                                                                               |          9 |        491 |         26 |         86 |        603 |
| src\ClientApp\Animations                                                                                                                            |          4 |        266 |          0 |         65 |        331 |
| src\ClientApp\Animations (Files)                                                                                                                    |          2 |        159 |          0 |         43 |        202 |
| src\ClientApp\Animations\Base                                                                                                                       |          2 |        107 |          0 |         22 |        129 |
| src\ClientApp\Controls                                                                                                                              |          4 |        147 |          0 |         38 |        185 |
| src\ClientApp\Converters                                                                                                                            |          7 |         90 |          0 |         31 |        121 |
| src\ClientApp\Effects                                                                                                                               |          2 |         50 |          0 |         10 |         60 |
| src\ClientApp\Exceptions                                                                                                                            |          1 |         12 |          0 |          4 |         16 |
| src\ClientApp\Extensions                                                                                                                            |          3 |        290 |         59 |         93 |        442 |
| src\ClientApp\Helpers                                                                                                                               |          2 |         41 |          0 |          7 |         48 |
| src\ClientApp\Messages                                                                                                                              |          1 |          3 |          0 |          3 |          6 |
| src\ClientApp\Models                                                                                                                                |         26 |        387 |          0 |        147 |        534 |
| src\ClientApp\Models\Basket                                                                                                                         |          2 |         61 |          0 |         19 |         80 |
| src\ClientApp\Models\Catalog                                                                                                                        |          4 |         41 |          0 |         11 |         52 |
| src\ClientApp\Models\Location                                                                                                                       |          4 |         71 |          0 |         16 |         87 |
| src\ClientApp\Models\Marketing                                                                                                                      |          3 |         29 |          0 |         17 |         46 |
| src\ClientApp\Models\Navigation                                                                                                                     |          1 |          5 |          0 |          2 |          7 |
| src\ClientApp\Models\Orders                                                                                                                         |          5 |         95 |          0 |         46 |        141 |
| src\ClientApp\Models\Permissions                                                                                                                    |          2 |         17 |          0 |          4 |         21 |
| src\ClientApp\Models\Token                                                                                                                          |          1 |         11 |          0 |          6 |         17 |
| src\ClientApp\Models\User                                                                                                                           |          4 |         57 |          0 |         26 |         83 |
| src\ClientApp\Platforms                                                                                                                             |         12 |        116 |         15 |         33 |        164 |
| src\ClientApp\Platforms\Android                                                                                                                     |          6 |         71 |          0 |         14 |         85 |
| src\ClientApp\Platforms\Android (Files)                                                                                                             |          4 |         59 |          0 |         14 |         73 |
| src\ClientApp\Platforms\Android\Resources                                                                                                           |          2 |         12 |          0 |          0 |         12 |
| src\ClientApp\Platforms\Android\Resources\values                                                                                                    |          1 |          6 |          0 |          0 |          6 |
| src\ClientApp\Platforms\Android\Resources\xml                                                                                                       |          1 |          6 |          0 |          0 |          6 |
| src\ClientApp\Platforms\MacCatalyst                                                                                                                 |          2 |         16 |          3 |          6 |         25 |
| src\ClientApp\Platforms\Windows                                                                                                                     |          2 |         13 |          9 |          7 |         29 |
| src\ClientApp\Platforms\iOS                                                                                                                         |          2 |         16 |          3 |          6 |         25 |
| src\ClientApp\Properties                                                                                                                            |          1 |          8 |          0 |          0 |          8 |
| src\ClientApp\Resources                                                                                                                             |         13 |        552 |         10 |         57 |        619 |
| src\ClientApp\Resources\AppIcon                                                                                                                     |          2 |         45 |          1 |          2 |         48 |
| src\ClientApp\Resources\Images                                                                                                                      |          8 |        128 |          2 |         10 |        140 |
| src\ClientApp\Resources\Splash                                                                                                                      |          1 |         41 |          1 |          2 |         44 |
| src\ClientApp\Resources\Styles                                                                                                                      |          2 |        338 |          6 |         43 |        387 |
| src\ClientApp\Services                                                                                                                              |         36 |      2,621 |         40 |        499 |      3,160 |
| src\ClientApp\Services (Files)                                                                                                                      |          1 |         19 |          0 |          3 |         22 |
| src\ClientApp\Services\AppEnvironment                                                                                                               |          2 |         65 |          0 |         22 |         87 |
| src\ClientApp\Services\Basket                                                                                                                       |          5 |      1,346 |         36 |        182 |      1,564 |
| src\ClientApp\Services\Basket (Files)                                                                                                               |          3 |        176 |          0 |         48 |        224 |
| src\ClientApp\Services\Basket\Protos                                                                                                                |          2 |      1,170 |         36 |        134 |      1,340 |
| src\ClientApp\Services\Catalog                                                                                                                      |          3 |        175 |          0 |         41 |        216 |
| src\ClientApp\Services\Common                                                                                                                       |          1 |         11 |          0 |          3 |         14 |
| src\ClientApp\Services\Dialog                                                                                                                       |          2 |         13 |          0 |          4 |         17 |
| src\ClientApp\Services\FixUri                                                                                                                       |          2 |        104 |          0 |         18 |        122 |
| src\ClientApp\Services\Identity                                                                                                                     |          4 |        204 |          0 |         46 |        250 |
| src\ClientApp\Services\Location                                                                                                                     |          2 |         27 |          2 |          9 |         38 |
| src\ClientApp\Services\Navigation                                                                                                                   |          2 |         34 |          0 |         13 |         47 |
| src\ClientApp\Services\OpenUrl                                                                                                                      |          2 |         16 |          0 |          4 |         20 |
| src\ClientApp\Services\Order                                                                                                                        |          3 |        282 |          2 |         50 |        334 |
| src\ClientApp\Services\RequestProvider                                                                                                              |          3 |        165 |          0 |         56 |        221 |
| src\ClientApp\Services\Settings                                                                                                                     |          2 |        148 |          0 |         44 |        192 |
| src\ClientApp\Services\Theme                                                                                                                        |          2 |         12 |          0 |          4 |         16 |
| src\ClientApp\Triggers                                                                                                                              |          1 |         13 |          0 |          4 |         17 |
| src\ClientApp\Validations                                                                                                                           |          4 |         59 |          0 |         18 |         77 |
| src\ClientApp\ViewModels                                                                                                                            |         14 |      1,108 |         20 |        260 |      1,388 |
| src\ClientApp\ViewModels (Files)                                                                                                                    |         12 |      1,055 |         20 |        240 |      1,315 |
| src\ClientApp\ViewModels\Base                                                                                                                       |          2 |         53 |          0 |         20 |         73 |
| src\ClientApp\Views                                                                                                                                 |         35 |      1,903 |        129 |        180 |      2,212 |
| src\ClientApp\Views (Files)                                                                                                                         |         25 |      1,482 |        114 |        150 |      1,746 |
| src\ClientApp\Views\Templates                                                                                                                       |         10 |        421 |         15 |         30 |        466 |
| src\EventBus                                                                                                                                        |          9 |        113 |          6 |         35 |        154 |
| src\EventBus (Files)                                                                                                                                |          2 |         12 |          0 |          4 |         16 |
| src\EventBusRabbitMQ                                                                                                                                |          6 |        312 |         27 |         84 |        423 |
| src\EventBus\Abstractions                                                                                                                           |          4 |         39 |          0 |         14 |         53 |
| src\EventBus\Events                                                                                                                                 |          1 |         13 |          0 |          4 |         17 |
| src\EventBus\Extensions                                                                                                                             |          2 |         49 |          6 |         13 |         68 |
| src\HybridApp                                                                                                                                       |         55 |      1,531 |        209 |        303 |      2,043 |
| src\HybridApp (Files)                                                                                                                               |          7 |        137 |         42 |         43 |        222 |
| src\HybridApp\Components                                                                                                                            |         14 |        596 |         10 |         94 |        700 |
| src\HybridApp\Components (Files)                                                                                                                    |          2 |         25 |          0 |          2 |         27 |
| src\HybridApp\Components\Layout                                                                                                                     |          6 |        140 |          5 |         23 |        168 |
| src\HybridApp\Components\Pages                                                                                                                      |          6 |        431 |          5 |         69 |        505 |
| src\HybridApp\Components\Pages\Catalog                                                                                                              |          4 |        314 |          0 |         49 |        363 |
| src\HybridApp\Components\Pages\Item                                                                                                                 |          2 |        117 |          5 |         20 |        142 |
| src\HybridApp\Platforms                                                                                                                             |         13 |        118 |         15 |         31 |        164 |
| src\HybridApp\Platforms\Android                                                                                                                     |          5 |         39 |          0 |          8 |         47 |
| src\HybridApp\Platforms\Android (Files)                                                                                                             |          3 |         27 |          0 |          8 |         35 |
| src\HybridApp\Platforms\Android\Resources                                                                                                           |          2 |         12 |          0 |          0 |         12 |
| src\HybridApp\Platforms\Android\Resources\values                                                                                                    |          1 |          6 |          0 |          0 |          6 |
| src\HybridApp\Platforms\Android\Resources\xml                                                                                                       |          1 |          6 |          0 |          0 |          6 |
| src\HybridApp\Platforms\MacCatalyst                                                                                                                 |          2 |         17 |          3 |          6 |         26 |
| src\HybridApp\Platforms\Tizen                                                                                                                       |          2 |         28 |          0 |          4 |         32 |
| src\HybridApp\Platforms\Windows                                                                                                                     |          2 |         17 |          9 |          7 |         33 |
| src\HybridApp\Platforms\iOS                                                                                                                         |          2 |         17 |          3 |          6 |         26 |
| src\HybridApp\Properties                                                                                                                            |          1 |          8 |          0 |          0 |          8 |
| src\HybridApp\Resources                                                                                                                             |          4 |        179 |          2 |          5 |        186 |
| src\HybridApp\Resources\AppIcon                                                                                                                     |          2 |         45 |          1 |          2 |         48 |
| src\HybridApp\Resources\Images                                                                                                                      |          1 |         93 |          0 |          1 |         94 |
| src\HybridApp\Resources\Splash                                                                                                                      |          1 |         41 |          1 |          2 |         44 |
| src\HybridApp\Services                                                                                                                              |          3 |         78 |          0 |         18 |         96 |
| src\HybridApp\wwwroot                                                                                                                               |         13 |        415 |        140 |        112 |        667 |
| src\HybridApp\wwwroot (Files)                                                                                                                       |          1 |         18 |          0 |          6 |         24 |
| src\HybridApp\wwwroot\css                                                                                                                           |          2 |        291 |        140 |         97 |        528 |
| src\HybridApp\wwwroot\icons                                                                                                                         |          6 |         33 |          0 |          6 |         39 |
| src\HybridApp\wwwroot\images                                                                                                                        |          4 |         73 |          0 |          3 |         76 |
| src\Identity.API                                                                                                                                    |        113 |     26,181 |        278 |        994 |     27,453 |
| src\Identity.API (Files)                                                                                                                            |          8 |        285 |         13 |        151 |        449 |
| src\Identity.API\Configuration                                                                                                                      |          1 |        174 |          9 |         10 |        193 |
| src\Identity.API\Data                                                                                                                               |          4 |        702 |         14 |        190 |        906 |
| src\Identity.API\Data (Files)                                                                                                                       |          1 |         12 |          8 |          3 |         23 |
| src\Identity.API\Data\Migrations                                                                                                                    |          3 |        690 |          6 |        187 |        883 |
| src\Identity.API\Models                                                                                                                             |         23 |        288 |          3 |         51 |        342 |
| src\Identity.API\Models (Files)                                                                                                                     |          2 |         37 |          3 |          2 |         42 |
| src\Identity.API\Models\AccountViewModels                                                                                                           |          9 |        110 |          0 |         24 |        134 |
| src\Identity.API\Models\ConsentViewModels                                                                                                           |          5 |         59 |          0 |          9 |         68 |
| src\Identity.API\Models\ManageViewModels                                                                                                            |          7 |         82 |          0 |         16 |         98 |
| src\Identity.API\Properties                                                                                                                         |          1 |         20 |          0 |          0 |         20 |
| src\Identity.API\Quickstart                                                                                                                         |         27 |      1,097 |        202 |        273 |      1,572 |
| src\Identity.API\Quickstart (Files)                                                                                                                 |          2 |         48 |         16 |         12 |         76 |
| src\Identity.API\Quickstart\Account                                                                                                                 |         10 |        459 |        108 |        121 |        688 |
| src\Identity.API\Quickstart\Consent                                                                                                                 |          6 |        236 |         37 |         57 |        330 |
| src\Identity.API\Quickstart\Device                                                                                                                  |          3 |        184 |         14 |         40 |        238 |
| src\Identity.API\Quickstart\Diagnostics                                                                                                             |          2 |         35 |          4 |         13 |         52 |
| src\Identity.API\Quickstart\Grants                                                                                                                  |          2 |         80 |         13 |         17 |        110 |
| src\Identity.API\Quickstart\Home                                                                                                                    |          2 |         55 |         10 |         13 |         78 |
| src\Identity.API\Services                                                                                                                           |          5 |        163 |          0 |         43 |        206 |
| src\Identity.API\Views                                                                                                                              |         18 |        615 |          0 |         74 |        689 |
| src\Identity.API\Views (Files)                                                                                                                      |          2 |          5 |          0 |          2 |          7 |
| src\Identity.API\Views\Account                                                                                                                      |          4 |         92 |          0 |         13 |        105 |
| src\Identity.API\Views\Consent                                                                                                                      |          1 |         97 |          0 |          8 |        105 |
| src\Identity.API\Views\Device                                                                                                                       |          3 |        126 |          0 |         15 |        141 |
| src\Identity.API\Views\Diagnostics                                                                                                                  |          1 |         57 |          0 |          8 |         65 |
| src\Identity.API\Views\Grants                                                                                                                       |          1 |         83 |          0 |          4 |         87 |
| src\Identity.API\Views\Home                                                                                                                         |          1 |         29 |          0 |          4 |         33 |
| src\Identity.API\Views\Shared                                                                                                                       |          5 |        126 |          0 |         20 |        146 |
| src\Identity.API\wwwroot                                                                                                                            |         26 |     22,837 |         37 |        202 |     23,076 |
| src\Identity.API\wwwroot (Files)                                                                                                                    |          1 |          0 |          6 |          1 |          7 |
| src\Identity.API\wwwroot\css                                                                                                                        |          1 |        923 |         27 |        186 |      1,136 |
| src\Identity.API\wwwroot\fonts                                                                                                                      |          8 |     21,771 |          0 |          8 |     21,779 |
| src\Identity.API\wwwroot\images                                                                                                                     |         12 |        136 |          3 |          3 |        142 |
| src\Identity.API\wwwroot\js                                                                                                                         |          4 |          7 |          1 |          4 |         12 |
| src\IntegrationEventLogEF                                                                                                                           |          8 |        176 |          2 |         42 |        220 |
| src\IntegrationEventLogEF (Files)                                                                                                                   |          5 |         77 |          0 |         16 |         93 |
| src\IntegrationEventLogEF\Services                                                                                                                  |          2 |         81 |          0 |         22 |        103 |
| src\IntegrationEventLogEF\Utilities                                                                                                                 |          1 |         18 |          2 |          4 |         24 |
| src\OrderProcessor                                                                                                                                  |         10 |        181 |          0 |         43 |        224 |
| src\OrderProcessor (Files)                                                                                                                          |          6 |         63 |          0 |         14 |         77 |
| src\OrderProcessor\Events                                                                                                                           |          1 |         10 |          0 |          3 |         13 |
| src\OrderProcessor\Extensions                                                                                                                       |          1 |         19 |          0 |          8 |         27 |
| src\OrderProcessor\Properties                                                                                                                       |          1 |         11 |          0 |          0 |         11 |
| src\OrderProcessor\Services                                                                                                                         |          1 |         78 |          0 |         18 |         96 |
| src\Ordering.API                                                                                                                                    |         72 |      1,687 |        114 |        408 |      2,209 |
| src\Ordering.API (Files)                                                                                                                            |          6 |        122 |          5 |         19 |        146 |
| src\Ordering.API\Apis                                                                                                                               |          2 |        164 |          1 |         33 |        198 |
| src\Ordering.API\Application                                                                                                                        |         56 |      1,242 |        101 |        316 |      1,659 |
| src\Ordering.API\Application\Behaviors                                                                                                              |          3 |         91 |          0 |         30 |        121 |
| src\Ordering.API\Application\Commands                                                                                                               |         18 |        460 |         85 |        127 |        672 |
| src\Ordering.API\Application\DomainEventHandlers                                                                                                    |          7 |        210 |          5 |         47 |        262 |
| src\Ordering.API\Application\IntegrationEvents                                                                                                      |         19 |        304 |         11 |         78 |        393 |
